Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,105,12,P:System.Windows.Forms.Form.ClientSize,,,,,"ClientSize = new Size(354, nextTop + 47);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,104,12,T:System.Windows.Forms.IButtonControl,,,,,CancelButton = btnCancel;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,104,12,P:System.Windows.Forms.Form.CancelButton,,,,,CancelButton = btnCancel;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,103,12,T:System.Windows.Forms.IButtonControl,,,,,AcceptButton = btnOk;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,103,12,P:System.Windows.Forms.Form.AcceptButton,,,,,AcceptButton = btnOk;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,101,12,T:System.Windows.Forms.Control.ControlCollection,,,,,Controls.Add(btnCancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,101,12,P:System.Windows.Forms.Control.Controls,,,,,Controls.Add(btnCancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,101,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,Controls.Add(btnCancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,100,12,T:System.Windows.Forms.Control.ControlCollection,,,,,Controls.Add(btnOk);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,100,12,P:System.Windows.Forms.Control.Controls,,,,,Controls.Add(btnOk);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,100,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,Controls.Add(btnOk);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,96,20,T:System.Windows.Forms.DialogResult,,,,,DialogResult = DialogResult.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,96,20,T:System.Windows.Forms.DialogResult,,,,,DialogResult = DialogResult.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,96,20,F:System.Windows.Forms.DialogResult.None,,,,,DialogResult = DialogResult.None;
